일          본,,,월계," 7,660 "," 6,710 ",14.2 ,
,,,누계," 61,698 "," 40,513 ",52.3 ,
중          국,,,월계," 70,124 "," 30,753 ",128.0 ,
,,,누계," 471,509 "," 655,761 ",-28.1 ,
홍          콩,,,월계," 4,985 "," 4,344 ",14.8 ,
,,,누계," 36,643 "," 41,443 ",-11.6 ,
대          만,,,월계," 4,296 "," 3,256 ",31.9 ,
,,,누계," 34,518 "," 21,794 ",58.4 ,
싱    가    폴,,,월계," 2,183 "," 1,313 ",66.3 ,
,,,누계," 20,467 "," 28,241 ",-27.5 ,
말 레 이 시 아,,,월계," 6,354 ", 959 ,562.6 ,
,,,누계," 48,958 "," 40,967 ",19.5 ,
인 도 네 시 아,,,월계," 1,643 ", 780 ,110.6 ,
,,,누계," 16,463 "," 18,269 ",-9.9 ,
베    트    남,,,월계," 2,305 "," 1,769 ",30.3 ,
,,,누계," 21,838 "," 18,865 ",15.8 ,
태          국,,,월계," 4,802 "," 1,110 ",332.6 ,
,,,누계," 36,745 "," 17,856 ",105.8 ,
기          타,,,월계," 3,970 "," 3,943 ",0.7 ,
,,,누계," 29,660 "," 36,674 ",-19.1 ,
미          국,,,월계," 4,151 "," 2,386 ",74.0 ,
,,,누계," 20,289 "," 27,561 ",-26.4 ,
기          타,,,월계," 10,525 "," 8,234 ",27.8 ,
,,,누계," 58,693 "," 92,890 ",-36.8 ,
