일          본,,,월계," 9,145 "," 4,894 ",86.9 ,
,,,누계," 42,954 "," 26,035 ",65.0 ,
중          국,,,월계," 65,723 "," 40,825 ",61.0 ,
,,,누계," 322,900 "," 586,448 ",-44.9 ,
홍          콩,,,월계," 4,910 "," 6,532 ",-24.8 ,
,,,누계," 25,466 "," 31,852 ",-20.0 ,
대          만,,,월계," 4,374 "," 3,384 ",29.3 ,
,,,누계," 23,868 "," 14,827 ",61.0 ,
싱    가    폴,,,월계," 3,694 "," 2,655 ",39.1 ,
,,,누계," 16,456 "," 25,781 ",-36.2 ,
말 레 이 시 아,,,월계," 5,839 "," 2,827 ",106.5 ,
,,,누계," 38,633 "," 38,652 ",0.0 ,
인 도 네 시 아,,,월계," 1,869 "," 3,205 ",-41.7 ,
,,,누계," 13,005 "," 16,446 ",-20.9 ,
베    트    남,,,월계," 3,405 "," 4,061 ",-16.2 ,
,,,누계," 15,900 "," 15,606 ",1.9 ,
태          국,,,월계," 1,675 "," 2,759 ",-39.3 ,
,,,누계," 30,183 "," 15,826 ",90.7 ,
기          타,,,월계," 3,266 "," 4,913 ",-33.5 ,
,,,누계," 21,393 "," 28,065 ",-23.8 ,
미          국,,,월계," 3,049 "," 3,923 ",-22.3 ,
,,,누계," 13,092 "," 22,641 ",-42.2 ,
기          타,,,월계," 7,210 "," 13,965 ",-48.4 ,
,,,누계," 38,861 "," 74,718 ",-48.0 ,
