일          본,,,월계,"6,109","5,311",15
,,,누계,"15,483","11,585",33.6
중          국,,,월계,"73,532","42,243",74.1
,,,누계,"204,772","105,156",94.7
홍          콩,,,월계,"3,879","2,721",42.6
,,,누계,"9,329","5,487",70
대          만,,,월계,"6,877","3,279",109.7
,,,누계,"17,709","7,666",131
싱    가    폴,,,월계,"2,040","1,269",60.8
,,,누계,"5,629","3,158",78.2
말 레 이 시 아,,,월계,"5,854","4,782",22.4
,,,누계,"14,627","13,089",11.8
인 도 네 시 아,,,월계,"2,375","1,774",33.9
,,,누계,"6,033","4,663",29.4
베    트    남,,,월계,"2,366","1,806",31
,,,누계,"7,567","3,628",108.6
태         국,,,월계,"4,825","5,336",-9.6
,,,누계,"14,182","13,540",4.7
기          타,,,월계,"5,552","3,507",58.3
,,,누계,"13,197","9,377",40.7
미          국,,,월계,"2,771","2,067",34.1
,,,누계,"8,796","3,785",132.4
기          타,,,월계,"10,431","6,520",60
,,,누계,"27,927","13,949",100.2
