일          본,,,월계," 5,643 "," 2,965 ",90.3 ,
,,,누계," 86,634 "," 55,359 ",56.5 ,
중          국,,,월계," 63,706 "," 31,050 ",105.2 ,
,,,누계," 666,120 "," 747,315 ",-10.9 ,
홍          콩,,,월계," 3,058 "," 1,529 ",100.0 ,
,,,누계," 49,085 "," 48,952 ",0.3 ,
대          만,,,월계," 5,596 "," 1,831 ",205.6 ,
,,,누계," 51,331 "," 28,994 ",77.0 ,
싱    가    폴,,,월계," 2,571 "," 3,002 ",-14.4 ,
,,,누계," 28,572 "," 33,732 ",-15.3 ,
말 레 이 시 아,,,월계," 6,954 "," 5,337 ",30.3 ,
,,,누계," 68,353 "," 49,524 ",38.0 ,
인 도 네 시 아,,,월계," 2,389 "," 2,058 ",16.1 ,
,,,누계," 23,541 "," 23,065 ",2.1 ,
베    트    남,,,월계," 2,623 "," 1,057 ",148.2 ,
,,,누계," 30,233 "," 24,306 ",24.4 ,
태          국,,,월계," 6,164 "," 4,475 ",37.7 ,
,,,누계," 54,715 "," 23,790 ",130.0 ,
기          타,,,월계," 4,344 "," 3,894 ",11.6 ,
,,,누계," 43,721 "," 49,694 ",-12.0 ,
미          국,,,월계," 2,811 "," 1,247 ",125.4 ,
,,,누계," 31,270 "," 32,651 ",-4.2 ,
기          타,,,월계," 8,453 "," 4,777 ",77.0 ,
,,,누계," 91,257 "," 113,222 ",-19.4 ,
