일          본,,,월계," 8,664 "," 6,709 ",29.1 ,
,,,누계," 33,809 "," 21,141 ",59.9 ,
중          국,,,월계," 57,754 "," 33,184 ",74.0 ,
,,,누계," 257,177 "," 545,623 ",-52.9 ,
홍          콩,,,월계," 7,080 "," 5,519 ",28.3 ,
,,,누계," 20,556 "," 25,320 ",-18.8 ,
대          만,,,월계," 5,290 "," 3,103 ",70.5 ,
,,,누계," 19,494 "," 11,443 ",70.4 ,
싱    가    폴,,,월계," 5,881 "," 4,468 ",31.6 ,
,,,누계," 12,762 "," 23,126 ",-44.8 ,
말 레 이 시 아,,,월계," 8,081 "," 5,750 ",40.5 ,
,,,누계," 32,794 "," 35,825 ",-8.5 ,
인 도 네 시 아,,,월계," 2,470 "," 2,780 ",-11.2 ,
,,,누계," 11,136 "," 13,241 ",-15.9 ,
베    트    남,,,월계," 3,061 "," 2,666 ",14.8 ,
,,,누계," 12,495 "," 11,545 ",8.2 ,
태          국,,,월계," 4,445 "," 2,603 ",70.8 ,
,,,누계," 28,508 "," 13,067 ",118.2 ,
기          타,,,월계," 3,000 "," 4,232 ",-29.1 ,
,,,누계," 18,127 "," 23,152 ",-21.7 ,
미          국,,,월계," 2,620 "," 3,097 ",-15.4 ,
,,,누계," 10,043 "," 18,718 ",-46.3 ,
기          타,,,월계," 7,370 "," 12,520 ",-41.1 ,
,,,누계," 31,651 "," 60,753 ",-47.9 ,
