일          본,,,월계," 4,229 "," 3,045 ",38.9 ,
,,,누계," 9,374 "," 6,274 ",49.4 ,
중          국,,,월계," 69,351 "," 32,782 ",111.6 ,
,,,누계," 131,240 "," 62,913 ",108.6 ,
홍          콩,,,월계," 2,906 "," 1,468 ",98.0 ,
,,,누계," 5,450 "," 2,766 ",97.0 ,
대          만,,,월계," 5,449 "," 2,475 ",120.2 ,
,,,누계," 10,832 "," 4,387 ",146.9 ,
싱    가    폴,,,월계," 1,764 ", 594 ,197.0 ,
,,,누계," 3,589 "," 1,889 ",90.0 ,
말 레 이 시 아,,,월계," 4,573 "," 3,751 ",21.9 ,
,,,누계," 8,773 "," 8,307 ",5.6 ,
인 도 네 시 아,,,월계," 1,327 "," 1,118 ",18.7 ,
,,,누계," 3,658 "," 2,889 ",26.6 ,
베    트    남,,,월계," 2,469 ", 722 ,242.0 ,
,,,누계," 5,201 "," 1,822 ",185.5 ,
태         국,,,월계," 4,195 "," 4,017 ",4.4 ,
,,,누계," 9,357 "," 8,204 ",14.1 ,
기          타,,,월계," 3,572 "," 2,545 ",40.4 ,
,,,누계," 7,645 "," 5,870 ",30.2 ,
미          국,,,월계," 3,051 ", 870 ,250.7 ,
,,,누계," 6,025 "," 1,718 ",250.7 ,
기          타,,,월계," 9,041 "," 3,659 ",147.1 ,
,,,누계," 17,496 "," 7,429 ",135.5 ,
