일          본,,,월계," 7,576 "," 3,652 ",107.4 ,
,,,누계," 25,145 "," 14,432 ",74.2 ,
중          국,,,월계," 50,010 "," 31,382 ",59.4 ,
,,,누계," 199,423 "," 512,439 ",-61.1 ,
홍          콩,,,월계," 3,843 "," 4,959 ",-22.5 ,
,,,누계," 13,476 "," 19,801 ",-31.9 ,
대          만,,,월계," 3,567 "," 2,069 ",72.4 ,
,,,누계," 14,204 "," 8,340 ",70.3 ,
싱    가    폴,,,월계," 2,322 "," 3,711 ",-37.4 ,
,,,누계," 6,881 "," 18,658 ",-63.1 ,
말 레 이 시 아,,,월계," 5,601 "," 5,659 ",-1.0 ,
,,,누계," 24,713 "," 30,075 ",-17.8 ,
인 도 네 시 아,,,월계," 1,564 "," 3,015 ",-48.1 ,
,,,누계," 8,666 "," 10,461 ",-17.2 ,
베    트    남,,,월계," 2,123 "," 2,306 ",-7.9 ,
,,,누계," 9,434 "," 8,879 ",6.3 ,
태          국,,,월계," 5,383 "," 4,207 ",28.0 ,
,,,누계," 24,063 "," 10,464 ",130.0 ,
기          타,,,월계," 2,631 "," 4,266 ",-38.3 ,
,,,누계," 15,127 "," 18,920 ",-20.0 ,
미          국,,,월계," 1,582 "," 3,785 ",-58.2 ,
,,,누계," 7,423 "," 15,621 ",-52.5 ,
기          타,,,월계," 4,869 "," 12,044 ",-59.6 ,
,,,누계," 24,281 "," 48,233 ",-49.7 ,
