일          본,,,월계," 9,218 "," 6,222 ",48.2 ,
,,,누계," 80,991 "," 52,394 ",54.6 ,
중          국,,,월계," 58,883 "," 28,329 ",107.9 ,
,,,누계," 602,414 "," 716,265 ",-15.9 ,
홍          콩,,,월계," 4,468 "," 2,061 ",116.8 ,
,,,누계," 46,027 "," 47,423 ",-2.9 ,
대          만,,,월계," 5,628 "," 2,254 ",149.7 ,
,,,누계," 45,735 "," 27,163 ",68.4 ,
싱    가    폴,,,월계," 2,440 "," 1,219 ",100.2 ,
,,,누계," 26,001 "," 30,730 ",-15.4 ,
말 레 이 시 아,,,월계," 6,028 "," 1,605 ",275.6 ,
,,,누계," 61,399 "," 44,187 ",39.0 ,
인 도 네 시 아,,,월계," 2,608 "," 1,311 ",98.9 ,
,,,누계," 21,152 "," 21,007 ",0.7 ,
베    트    남,,,월계," 2,820 "," 1,213 ",132.5 ,
,,,누계," 27,610 "," 23,249 ",18.8 ,
태          국,,,월계," 5,966 ", 640 ,832.2 ,
,,,누계," 48,551 "," 19,315 ",151.4 ,
기          타,,,월계," 4,907 "," 4,065 ",20.7 ,
,,,누계," 39,377 "," 45,800 ",-14.0 ,
미          국,,,월계," 3,546 "," 1,406 ",152.2 ,
,,,누계," 28,459 "," 31,404 ",-9.4 ,
기          타,,,월계," 11,052 "," 6,320 ",74.9 ,
,,,누계," 82,804 "," 108,445 ",-23.6 ,
